source_file,window_ms,feat_set,model,n_samples,n_features,subjects,cv_splits,acc_mean,bal_acc_mean,f1_macro_mean,acc_std,bal_acc_std,f1_macro_std,fit_time_mean_sec,pred_time_mean_sec,infer_time_per_window_ms,svm_c,svm_scale,rf_n_estimators,rf_max_depth,sv_support_vectors_mean,sv_frac_mean,sv_n_iter_mean,notes
windows_WAK_UPS_DNS_STDUP_v1_w150_ov50_conf60_AorR_features_base_subjdep_cv.csv,150,base,SVM_RBF_balanced_scaled,45382,36,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40",5,0.8783657696142881,0.8318691615774055,0.8233979084916252,0.0029788957778495,0.0052224340503116,0.0047920872784324,20.659788999962625,10.353047120035626,1.1406556696526846,,,,,,,,canonical
windows_WAK_UPS_DNS_STDUP_v1_w150_ov50_conf60_AorR_features_base_subjdep_cv.csv,150,base,RF_balanced,45382,36,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40",5,0.883389858850723,0.8185912985963176,0.8271696883098987,0.0026899081606407,0.0030798484387622,0.0027727237521425,8.439120999979787,0.1833442200208082,0.0202001035675827,,,,,,,,canonical
windows_WAK_UPS_DNS_STDUP_v1_w150_ov50_conf60_AorR_features_ext_subjdep_cv.csv,150,ext,SVM_RBF_balanced_scaled,45382,54,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40",5,0.8662905309469014,0.8134523456518912,0.8064797289642606,0.0028146610519598,0.0049483156694305,0.0043683913640982,26.004515199991875,17.569877500017174,1.935776023535452,,,,,,,,canonical
windows_WAK_UPS_DNS_STDUP_v1_w150_ov50_conf60_AorR_features_ext_subjdep_cv.csv,150,ext,RF_balanced,45382,54,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40",5,0.8850866027313549,0.8208007309559886,0.8296881876039146,0.0015062349476083,0.0027559050822318,0.0021039044884831,7.718128539994359,0.1374400200089439,0.0151425697422925,,,,,,,,canonical
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base__RF__trees100__mdNone_subjdep_cv.csv,250,base,RF_balanced,26347,36,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40",5,0.8937642715636877,0.8294069969097919,0.837023723233095,0.0047618234566077,0.0076173978822089,0.0079028404973748,1.2049296599812809,0.0373348400113172,0.0070852165353393,5.0,0.0,100.0,-1.0,,,,canonical
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base__RF__trees200__mdNone_subjdep_cv.csv,250,base,RF_balanced,26347,36,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40",5,0.8953582354705821,0.8318517545888715,0.8394098358351588,0.005093458644345,0.0083289078175205,0.0082294946294392,2.5604140800074675,0.0629259599838405,0.0119417694583521,5.0,0.0,200.0,-1.0,,,,canonical
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base__RF__trees300__mdNone_subjdep_cv.csv,250,base,RF_balanced,26347,36,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40",5,0.8953582426732133,0.831885592171194,0.8395444330477375,0.0047342183423982,0.007541600279053,0.0075683774836754,3.7139556200010704,0.087050839990843,0.0165200667990365,5.0,0.0,300.0,-1.0,,,,canonical
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base__RF__trees500__mdNone_subjdep_cv.csv,250,base,RF_balanced,26347,36,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40",5,0.8957757720050289,0.8325825805103036,0.8399469503921875,0.0045368919182195,0.0068516339781453,0.0072447533767364,6.501898359996266,0.1641854000044986,0.0311582722899189,5.0,0.0,500.0,-1.0,,,,canonical
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base__RF__trees50__mdNone_subjdep_cv.csv,250,base,RF_balanced,26347,36,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40",5,0.8897788324030534,0.8223827476242391,0.8299000154386963,0.0041133925584459,0.005753706872693,0.0065001371108245,0.6559133600094356,0.0246032800059765,0.0046690856655362,5.0,0.0,50.0,-1.0,,,,canonical
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base__SVM__C0.5__scaled_subjdep_cv.csv,250,base,SVM_RBF_balanced_scaled,26347,36,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40",5,0.8620336269245881,0.8124750071975066,0.7977942806637177,0.0036677906477962,0.0055940356737075,0.0060645827179041,5.117695620004088,2.9802881199982947,0.5655839602228517,0.5,1.0,300.0,-1.0,9693.8,0.4599100300060995,4136.833333333334,canonical
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base__SVM__C10__scaled_subjdep_cv.csv,250,base,SVM_RBF_balanced_scaled,26347,36,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40",5,0.9081489633793016,0.8654483343245495,0.8590616870167409,0.0021288401599531,0.0044996896622699,0.0043417456255791,3.692096360004507,2.0624729000031947,0.3914056439069334,10.0,1.0,300.0,-1.0,6873.0,0.3260807589311586,14705.466666666664,canonical
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base__SVM__C1__scaled_subjdep_cv.csv,250,base,SVM_RBF_balanced_scaled,26347,36,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40",5,0.8770637753384065,0.8293425959354515,0.8171168168710876,0.0020033804016341,0.0032860731208897,0.0033669030872897,4.479138160019647,2.6207869400037453,0.4973596500557455,1.0,1.0,300.0,-1.0,8887.2,0.421641909756086,4753.799999999999,canonical
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base__SVM__C2__scaled_subjdep_cv.csv,250,base,SVM_RBF_balanced_scaled,26347,36,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40",5,0.8887919494749822,0.8427296301753596,0.8326516277192597,0.0017295745952732,0.0029908423201061,0.0030354343192064,4.087408739991952,2.312210619996768,0.43879960147204,2.0,1.0,300.0,-1.0,8188.2,0.388478763315095,6079.033333333333,canonical
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base__SVM__C5__scaled_subjdep_cv.csv,250,base,SVM_RBF_balanced_scaled,26347,36,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40",5,0.9020760792332656,0.8586179813701756,0.8507747032085831,0.0023658269234061,0.0060173664857726,0.0055827116098302,3.711716639995575,2.148799460020382,0.4077882605268876,5.0,1.0,300.0,-1.0,7387.0,0.3504668384062498,9839.633333333337,canonical
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base__SVM__C5__unscaled_subjdep_cv.csv,250,base,SVM_RBF_balanced,26347,36,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40",5,0.7104421587294271,0.6502180401972298,0.6202053953043125,0.0093435674149605,0.0121852756682149,0.0111991165153035,9.440554279997013,3.922339539986569,0.7443616996216968,5.0,0.0,300.0,-1.0,13822.8,0.6558051646783514,6888.633333333333,ablation_no_scaling
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base_subjdep_cv.csv,250,base,SVM_RBF_balanced,26347,36,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40",5,0.7104421587294271,0.6502180401972298,0.6202053953043125,0.0093435674149605,0.0121852756682149,0.0111991165153035,9.480161519988906,4.086248940008227,0.7754675940350376,5.0,0.0,300.0,-1.0,13822.8,0.6558051646783514,6888.633333333333,ablation_no_scaling
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_ext_subjdep_cv.csv,250,ext,SVM_RBF_balanced_scaled,26347,54,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40",5,0.8910314203984999,0.8420865529737004,0.8354444073029267,0.0035923424223838,0.0042918877241657,0.0046744250164735,7.147438540006988,3.533436940005049,0.6705577371247294,,,,,,,,canonical
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_ext_subjdep_cv.csv,250,ext,RF_balanced,26347,54,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40",5,0.8960415346934543,0.8325906391777069,0.8409345701779489,0.0033167594351875,0.0044857346103621,0.0048050286240796,4.568626680015586,0.1169570399913936,0.0221955137190939,,,,,,,,canonical
